2dDirection, 0x35d
DBC_OswaldPin, 0xc5d
DBC_ShdwBlotPos, 0xc61
DBC_TutorialGusConvo, 0xc65
DBC_ZoneB_Canister, 0xc69
DBC_ZoneB_Hint1, 0xc6d
DBC_ZoneB_Hint2, 0xc71
DBC_ZoneB_Tentacle, 0xc75
DBC_ZoneB1_Canister, 0xc79
DBC_ZoneB1_InRoom, 0xc7d
DBC_ZoneB1_SpattersDead, 0xc81
DBC_ZoneC_CollapseBark, 0xc85
DBC_ZoneC_Gearset1_1, 0xc89
DBC_ZoneC_Gearset1_2, 0xc8d
DBC_ZoneC_Gearset2_1, 0xc91
DBC_ZoneC_Gearset2_2, 0xc95
DBC_ZoneC_Rumble1, 0xc99
DBC_ZoneC_Rumble2, 0xc9d
DBC_ZoneC_Rumble3, 0xca1
DBC_ZoneC_Rumble4, 0xca5
DBC_ZoneC_Tenttacle1, 0xca9
DBC_ZoneC_Tenttacle2, 0xcad
DBC_ZoneC_Tenttacle3, 0xcb1
DBC_ZoneC_Tenttacle4, 0xcb5
DBC_ZoneC_Tenttacle5, 0xcb9
DBC_ZoneC_Tenttacle6, 0xcbd
DBC_ZoneC_Tenttacle7, 0xcc1
DBC_ZoneC_Tenttacle8, 0xcc5
DBC_ZoneC_Tenttacle9, 0xcc9
DBC_ZoneC_Torch1, 0xccd
DBC_ZoneC_Torch2, 0xcd1
DBC_ZoneC_Torch3, 0xcd5
DBC_ZoneC_Torch4, 0xcd9
DBC_ZoneC_Torch5, 0xcdd
DBC_ZoneD_BronzePin, 0xce1
DBC_ZoneD_BronzePin_Persist, 0xce5
DBC_ZoneD_IntroCutscene, 0xce9
DBC_ZoneD_ITD, 0xced
DBC_ZoneD_KeyGet, 0xcf1
DBC_ZoneD_SteamHoles, 0xcf5
DBC_ZoneD_SteamHoles2, 0xcf9
DBC_ZoneD_SteamPuzzleFinished, 0xcfd
DBC_ZoneE_Door1, 0xd01
DBC_ZoneE_Door2, 0xd05
DBC_ZoneE_DoorsOpen, 0xd09
DBC_ZoneE_Floor1, 0xd0d
DBC_ZoneE_Floor2, 0xd11
DBC_ZoneE_Rumble1, 0xd15
DBC_ZoneE_Rumble2, 0xd19
DBC_ZoneE_Rumble3, 0xd1d
DBC_ZoneE_Rumble4, 0xd21
DBC_ZoneE_Tenttacle1, 0xd25
DBC_ZoneE_Torch1, 0xd29
DBC_ZoneE_Torch2, 0xd2d
DBC_ZoneE_Torch3, 0xd31
DBC_ZoneE_Torch4, 0xd35
DBC_ZoneE_Torch5, 0xd39
DBC_ZoneE1_Door1, 0xd3d
DBC_ZoneE1_Door2, 0xd41
DBC_ZoneE1_DoorsOpen, 0xd45
DBC_ZoneE1_Hint1, 0xd49
DBC_ZoneE1_Hint2, 0xd4d
DBC_ZoneE1_Hint3, 0xd51
DBC_ZoneE1_Hint4, 0xd55
DBC_ZoneF_Banner1, 0xd59
DBC_ZoneF_Banner2, 0xd5d
DBC_ZoneF_Banner3, 0xd61
DBC_ZoneF_Banner4, 0xd65
DBC_ZoneF_BronzePin, 0xd69
DBC_ZoneF_BronzePin_Persist, 0xd6d
DBC_ZoneF_Chains, 0xd71
DBC_ZoneF_ChainsCheck, 0xd75
DBC_ZoneF_Door1, 0xd79
DBC_ZoneF_Door2, 0xd7d
DBC_ZoneF_DoorPuzzle, 0xd81
DBC_ZoneF_DoorPuzzleCheck, 0xd85
DBC_ZoneF_ExitCheck, 0xd89
DBC_ZoneF_FriendlySweepers, 0xd8d
DBC_ZoneF_GarAngle1, 0xd91
DBC_ZoneF_GarAngle2, 0xd95
DBC_ZoneF_GarAngle3, 0xd99
DBC_ZoneF_GarAngle4, 0xd9d
DBC_ZoneF_GarAngle5, 0xda1
DBC_ZoneF_Gargoyle1, 0xda5
DBC_ZoneF_Gargoyle2, 0xda9
DBC_ZoneF_Gargoyle3, 0xdad
DBC_ZoneF_Gargoyle4, 0xdb1
DBC_ZoneF_Gargoyle5, 0xdb5
DBC_ZoneF_GargoylePuzzle, 0xdb9
DBC_ZoneF_Gem, 0xdbd
DBC_ZoneF_Head1, 0xdc1
DBC_ZoneF_Head2, 0xdc5
DBC_ZoneF_Mural1, 0xdc9
DBC_ZoneF_Mural2, 0xdcd
DBC_ZoneF_Mural3, 0xdd1
DBC_ZoneF_Mural4, 0xdd5
DBC_ZoneF_Mural5, 0xdd9
DBC_ZoneF_Mural6, 0xddd
DBC_ZoneF_Mural7, 0xde1
DBC_ZoneF_Mural8, 0xde5
DBC_ZoneF_SlobberDefeated, 0xde9
DBC_ZoneF_SpattersSpawned, 0xded
DBC_ZoneF_Wall, 0xdf1
DBC_ZoneG_FloorSunk, 0xdf5
DBC_ZoneG_Hole01, 0xdf9
DBC_ZoneG_InRumbleZone, 0xdfd
DBC_ZoneGH_GH_BlotAttack, 0xe01
DBC_ZoneGH_GH_FloorDropped, 0xe05
DBC_ZoneGH_GH_HidingSpot, 0xe09
DBC_ZoneH_Bridge1, 0xe0d
DBC_ZoneH_Bridge2, 0xe11
DBC_ZoneH_Bridge3, 0xe15
DBC_ZoneH_Bridge4, 0xe19
DBC_ZoneH_Bridge5, 0xe1d
DBC_ZoneH_Bridge6, 0xe21
DBC_ZoneH_Currentportal, 0xe25
DBC_ZoneH_NextLevelLoaded, 0xe29
DBC_ZoneH_OswaldChoice, 0xe2d
DBC_ZoneH_OswaldConversationIntro_Played, 0xe31
DBC_ZoneH_Portal1, 0xe35
DBC_ZoneH_Portal2, 0xe39
DBC_ZoneH_Portal3, 0xe3d
DBC_ZoneH_Portal4, 0xe41
DBC_ZoneH_PortalOpen, 0xe45
DBC_ZoneH_ShamHide, 0xe49
DBC_ZoneK_Garg01State, 0xe4d
DBC_ZoneK_Garg02State, 0xe51
DBC_ZoneK_Garg03State, 0xe55
DBC_ZoneK_Garg04State, 0xe59
DBC_ZoneK_GargoyleHead1, 0xe5d
DBC_ZoneK_GargoyleHead2, 0xe61
DBC_ZoneK_GargoyleHead3, 0xe65
DBC_ZoneK_GemLit, 0xe69
DBC_ZoneK_MiddleTentacles, 0xe6d
DBC_ZoneK_PlateTurn, 0xe71
DBC_ZoneK_RoofSave, 0xe75
DBC_ZoneK_TentacleDead, 0xe79
DBC_ZoneK_TotalHeads, 0xe7d
DBC_ZoneL_BronzePin, 0xe81
DBC_ZoneL_BronzePin_Persist, 0xe85
DBC_ZoneL_Column01, 0xe89
DBC_ZoneL_Column02, 0x361
DBC_ZoneL_Column03, 0xe91
DBC_ZoneL_Column04, 0xe95
DBC_ZoneL_GargoyleHead1, 0xe99
DBC_ZoneL_GargoyleHead2, 0xe9d
DBC_ZoneL_GargoyleHead3, 0xea1
DBC_ZoneL_GemLit, 0xea5
DBC_ZoneL_RoofTrigger, 0xea9
DBC_ZoneL_TentacleDead, 0xead
DBC_ZoneL_TotalHeads, 0xeb1
DBC_ZoneM_ClearToTeleport, 0xeb5
DBC_ZoneM_Garg01, 0xeb9
DBC_ZoneM_Garg02, 0xebd
DBC_ZoneM_Garg03, 0xec1
DBC_ZoneM_Garg04, 0xec5
DBC_ZoneM_GargoyleHead1, 0xec9
DBC_ZoneM_GargoyleHead2, 0xecd
DBC_ZoneM_GargoyleHead3, 0xed1
DBC_ZoneM_GemLit, 0xed5
DBC_ZoneM_GoldPin, 0xed9
DBC_ZoneM_GoldPin_Persist, 0xedd
DBC_ZoneM_MickeyInside01, 0xee1
DBC_ZoneM_MickeyKillState, 0xee5
DBC_ZoneM_PlatformTent, 0xee9
DBC_ZoneM_SomethingWrong_Played, 0xeed
DBC_ZoneM_TentacleDead, 0xef1
DBC_ZoneM_TentCut, 0xef5
DBC_ZoneM_TopDone, 0xef9
DBC_ZoneM_TotalHeads, 0xefd
DBC_ZoneM_VisitedSecret, 0xf01
DBC_ZoneM_X, 0xf05
DBC_ZoneMR_BronzePin, 0xf09
DBC_ZoneMR_SaveCheck, 0xf0d
DBC_ZoneN_GargoyleHead1, 0xf11
DBC_ZoneN_GargoyleHead2, 0xf15
DBC_ZoneN_GargoyleHead3, 0xf19
DBC_ZoneN_TentacleDead, 0xf1d
DBC_ZoneN_TotalHeads, 0xf21
DBC_ZoneO_IntroCutscene, 0xf25
DBC_ZoneO_SilverPin, 0xf29
DBC_ZoneO_SilverPin_Persist, 0xf2d
DBC_ZoneOtoKDoor, 0xf31
DBC_ZoneP_BlotAttack, 0xf35
DBC_ZoneP_Chandelier1, 0xf39
DBC_ZoneP_ChandelierMoving, 0xf3d
DBC_ZoneP_FloorDropped, 0xf41
DBC_ZoneP_Gearset1_1, 0xf45
DBC_ZoneP_Gearset1_2, 0xf49
DBC_ZoneP_HidingSpot, 0xf4d
DBC_ZoneP_MickeyLoc, 0xf51
DBC_ZoneP_TentAttack1, 0xf55
DBC_ZoneP_TentAttack2, 0xf59
DBC_ZoneP_TentAttack3, 0xf5d
DBC_ZoneP_Wall1, 0xf61
DBC_ZoneP_Wall2, 0xf65
DBC_ZoneP_Wall3, 0xf69
DBC_ZoneP_Wall4, 0xf6d
DBC_ZoneP_Wall5, 0xf71
DBC_ZoneP_Wall6, 0xf75
DBC_ZoneP_Wall7, 0xf79
DBC_ZoneP_Wall8, 0xf7d
DBC_ZoneQ_BlotAttack, 0xf81
DBC_ZoneQ_Chandelier1, 0xf85
DBC_ZoneQ_ChandelierMoving, 0xf89
DBC_ZoneQ_FloorDropped, 0xf8d
DBC_ZoneQ_Gearset1_1, 0xf91
DBC_ZoneQ_Gearset1_2, 0xf95
DBC_ZoneQ_Gearset2_1, 0xf99
DBC_ZoneQ_Gearset2_2, 0xf9d
DBC_ZoneQ_HidingSpot, 0xfa1
DBC_ZoneQ_MickeyLoc, 0xfa5
DBC_ZoneQ_TentAttack1, 0xfa9
DBC_ZoneQ_TentAttack2, 0xfad
DBC_ZoneQ_TentAttack3, 0xfb1
DBC_ZoneQ_Wall1, 0xfb5
DBC_ZoneQ_Wall2, 0xfb9
DBC_ZoneQ_Wall3, 0xfbd
DBC_ZoneQ_Wall4, 0xfc1
DBC_ZoneQ_Wall5, 0xfc5
DBC_ZoneQ_Wall6, 0xfc9
DBC_ZoneQ_Wall7, 0xfcd
DBC_ZoneQ_Wall8, 0xfd1
DBC_ZoneR_BronzePin1, 0xfd5
DBC_ZoneR_BronzePin1_Persist, 0xfd9
DBC_ZoneR_BronzePin2, 0xfdd
DBC_ZoneR_BronzePin2_Persist, 0xfe1
DBC_ZoneR_ChandelierMoving, 0xfe5
DBC_ZoneR_CheckpointCheck, 0xfe9
DBC_ZoneR_Gearset1_1, 0xfed
DBC_ZoneR_Gearset1_2, 0xff1
DBC_ZoneR_MickeyLoc, 0xff5
DBC_ZoneR_OswaldChatter_Played, 0xff9
DBC_ZoneR_OswaldTalk_Played, 0xffd
DBC_ZoneS_FoundGus, 0x1001
DBC_ZoneS_GoldPin, 0x1005
DBC_ZoneS_GoldPin_Persist, 0x1009
DBC_ZoneS_ProgressCheck, 0x100d
DBC_ZoneS_RoomFinished, 0x1011
DBC_ZoneS_Tentacle1, 0x1015
DBC_ZoneS_Tentacle2, 0x1019
DBC_ZoneS_Tentacle3, 0x101d
DBC_ZoneS_Tentacle4, 0x1021
DBC_ZoneS_TotalGremlinsFreed, 0x1025
DBC_ZoneS_TotalTent, 0x1029
DBC1stZoneCtoZoneD_Played, 0x102d
DBC1stZoneDtoGV_Played, 0x1031
DBCZoneCtoSWZoneD_Played, 0x1035
DBCZoneCtoSWZoneD2_Played, 0x1039
DBCZoneCtoZoneF_Played, 0x103d
DBCZoneDtoZoneC_Played, 0x1041
DBCZoneFtoZoneW_Played, 0x1045
DBCZoneFtoZoneX_Played, 0x1049
DBCZoneKtoZoneY_Played, 0x104d
DBCZoneLtoZoneZ_Played, 0x1051
DBCZoneWXtoZoneH_Played, 0x1055
DBCZoneYtoZoneL_Played, 0x1059
DBCZoneZtoZoneM_Played, 0x105d
DEBUG_VAR1, 0x1061
DefeatTronPete_Played, 0x1065
delete, 0x1069
demo_gv_coliseum_Cannon1, 0x106d
demo_gv_coliseum_Cannon2, 0x1071
demo_gv_coliseum_Cannon3, 0x1075
demo_gv_coliseum_Cannon4, 0x1079
demo_gv_coliseum_Cannon5, 0x107d
demo_gv_coliseum_Cannon6, 0x1081
demo_gv_coliseum_cannons, 0x1085
demo_gv_coliseum_canoncheck1, 0x1089
demo_gv_coliseum_Kami1, 0x108d
demo_gv_coliseum_Kami2, 0x1091
demo_gv_coliseum_lefttimer, 0x1095
demo_gv_coliseum_Melee1, 0x1099
demo_gv_coliseum_Melee2, 0x109d
demo_gv_coliseum_Panel1, 0x10a1
demo_gv_coliseum_Panel2, 0x10a5
demo_gv_coliseum_Panel3, 0x10a9
demo_gv_coliseum_Panel4, 0x10ad
demo_gv_coliseum_Panel5, 0x10b1
demo_gv_coliseum_Panel6, 0x10b5
demo_gv_coliseum_panels, 0x10b9
demo_gv_coliseum_peteattacking, 0x10bd
demo_gv_coliseum_PlayerCannon1, 0x10c1
demo_gv_coliseum_PlayerCannon2, 0x10c5
demo_gv_coliseum_PlayerCannon3, 0x10c9
demo_gv_coliseum_PlayerCannon4, 0x10cd
demo_gv_coliseum_PlayerCannon5, 0x10d1
demo_gv_coliseum_PlayerCannon6, 0x10d5
demo_gv_coliseum_quadrant, 0x10d9
demo_gv_coliseum_R1SpatterSpawners, 0x10dd
demo_gv_coliseum_R3SpatterSpawners, 0x10e1
demo_gv_coliseum_Ranged1, 0x10e5
demo_gv_coliseum_Ranged2, 0x10e9
demo_gv_coliseum_Ranged3, 0x10ed
demo_gv_coliseum_Ranged4, 0x10f1
demo_gv_coliseum_righttimer, 0x10f5
demo_gv_coliseum_round, 0x10f9
demo_gv_coliseum_totalgremlins, 0x10fd
demo_gv_isle1_bunnyhut, 0x1101
demo_gv_isle1_donaldarm, 0x1105
demo_gv_isle1_donaldhead, 0x1109
demo_gv_isle1_Housethinned, 0x110d
demo_gv_isle1_MickeyHutTeleLoc, 0x1111
demo_gv_isle1_PaladinPath, 0x1115
demo_gv_isle1_PaladinPathDialog, 0x1119
demo_gv_isle1_ScrapperPathDialog, 0x111d
demo_gv_isle1_Spatterspawner1, 0x1121
demo_gv_isle1_Spatterspawner2, 0x1125
demo_gv_isle1_Spatterspawner3, 0x1129
demo_gv_isle1_totalbunnychildren, 0x112d
demo_gv_isle3_bunnyhut, 0x1131
demo_gv_isle3_donalparts, 0x1135
demo_gv_isle3_donaltorso, 0x1139
demo_gv_isle3_mickeycheck, 0x113d
demo_gv_isle3_mickeycheck2, 0x1141
demo_gv_isle3_portalpos, 0x1145
demo_gv_isle3_toptower, 0x1149
demo_gv_isle3_totalbunnychildren, 0x114d
demo_gv_isle3_towergear1, 0x1151
demo_gv_isle3_towergear2, 0x1155
demo_gv_isle3U_FirstVisit, 0x1159
demo_gv_isle3U_Gear1Thinnedglobal, 0x115d
demo_gv_isle3U_Gear2Thinnedglobal, 0x1161
demo_gv_isle3U_Gremlinsaved, 0x1165
demo_gv_isle3U_TowerPosition, 0x1169
demo_gv_SetSugPart, 0x116d
Demo_PlayerInTunnel, 0x1171
DemoLevelCheck_Global, 0x1175
Destroyed_Played, 0x1179
DiscSpotted_Played, 0x117d
e, 0x1181
E3_AL_V1_Disabled_Played, 0x1185
E3_AL_V1_Gus_ChestReward_Played, 0x1189
E3_AL_V1_Store_Bad_Played, 0x118d
E3_AL_V1_Store_Played, 0x1191
E3_AL_V1_ToSteamboatWillie_Played, 0x1195
E3_PotW_SR_ChestReward_Played, 0x1199
Electric_tracks_cam, 0x119d
Endgame_Var_Pos_Clocktower, 0x11a1
Endgame_Var_Pos_Daisy, 0x11a5
Endgame_Var_Pos_Donald, 0x11a9
Endgame_Var_Pos_Goofy, 0x11ad
Endgame_Var_Pos_Hook, 0x11b1
Endgame_Var_Pos_Horace, 0x11b5
Endgame_Var_Pos_Pete, 0x11b9
Endgame_Var_Pos_Petetronic, 0x11bd
Endgame_Var_Pos_SmallPete, 0x11c1
Enter Back Tiki Hut_Played, 0x11c5
EnterAgency_Played, 0x11c9
EnterCityHall_Played, 0x11cd
EnterClarabelleHouse_Played, 0x11d1
EnterDockHouse_Played, 0x11d5
EnterEmporium_Played, 0x11d9
EnterIceCreamParlor_Played, 0x11dd
EnterMickeyHouse_Played, 0x11e1
EnterMuseum_Played, 0x11e5
EnterOrtensia_Played, 0x11e9
EnterShip_Played, 0x11ed
EnterShop_Played, 0x11f1
EnterTownHall_Played, 0x11f5
EnterWalts_Played, 0x11f9
Exit Back Tiki Hut_Played, 0x11fd
ExitAgency_Played, 0x1201
ExitClarabelleHouse_Played, 0x1205
ExitDockHouse_Played, 0x1209
ExitEmporium_Played, 0x120d
ExitIceCreamParlor_Played, 0x1211
ExitMickeyHouse_Played, 0x1215
ExitMuseum_Played, 0x1219
ExitOrtensia_Played, 0x121d
ExitShip_Played, 0x1221
ExitShop_Played, 0x1225
ExitThroughProjector_Played, 0x1229
ExitTownHall_Played, 0x122d
ExitWalts_Played, 0x1231
f, 0x1235
FILM_MadDoctor, 0x1239
FILM_WhatAKnight, 0x123d
FilmReelDefaultGlobal, 0x1241
FilmReelTestGlobal, 0x1245
FMV_ClaraIntro_Played, 0x1249
FMV_DaisyIntro_Played, 0x124d
FMV_DOnaldIntro_Played, 0x1251
FMV_GoofyIntro_Played, 0x1255
FMV_HoraceIntro_Played, 0x1259
FMV_PeteIntro_Played, 0x125d
FMV_PeteMention_Played, 0x1261
FMV_RocketBroken_Played, 0x1265
FMV_StarkeyIntro_Played, 0x1269
FMV_Statue_Played, 0x126d
Font_Test_All_Characters_Played, 0x1271
Foyer_to_MadDoc_Played, 0x1275
FR_Alpine01, 0x1279
FR_Alpine02, 0x127d
FR_Castaway01, 0x1281
FR_Castaway02, 0x1285
FR_Clock01, 0x1289
FR_Clock02, 0x365
FR_Fantasia01, 0x1291
FR_Fantasia02, 0x1295
FR_Fantasia03, 0x1299
FR_Fantasia04, 0x129d
FR_GreatGuns01, 0x12a1
FR_HauntedHouse01, 0x40f5
FR_HauntedHouse02, 0x40f9
FR_HauntedHouse03, 0x40fd
FR_JungleRhythm01, 0x12a5
FR_JungleRhythm02, 0x12a9
FR_LonesomeGhosts01, 0x12ad
FR_LonesomeGhosts02, 0x12b1
FR_MadDoc01, 0x12b5
FR_MadDoc02, 0x12b9
FR_Mechanical_Man, 0x40ed
FR_MechanicalMan01, 0x12bd
FR_MechanicalMan2, 0x12c1
FR_MickeyAndTheBeanstalk, 0x40f1
FR_Mirror, 0x12c5
FR_OhWhatAKnight01, 0x12c9
FR_Plutopia01, 0x12cd
FR_Plutopia2, 0x12d1
FR_Shanghaied, 0x4101
FR_SleepingBeauty01, 0x12d5
FR_Steamboat01, 0x12d9
FR_Steamboat02, 0x12dd
FR_Steamboat03, 0x12e1
FR_Steamroller01, 0x12e5
FR_ThruMirror01, 0x12e9
FR_TotalReels, 0x12ed
FR_TrolleyTrouble01, 0x12f1
FR_Whalers, 0x40e9
FR_YeOlenDays, 0x40e5
FromClockBtoEurope_Played, 0x12f5
FromSteamAtoVillage_Played, 0x12f9
FromSteamBtoZoneI_Played, 0x12fd
FromVillageToExit_Played, 0x1301
Generic Line 31_Played, 0x1305
Generic Line 32_Played, 0x1309
Generic Line 33_Played, 0x130d
Generic Line 34_Played, 0x1311
Generic Line 35_Played, 0x1315
Generic Line 36_Played, 0x1319
Generic Line 37_Played, 0x131d
Generic Line 38_Played, 0x1321
Generic_EnemyIntroduction_Played, 0x1325
Generic_Pirate_Blunderbus_Played, 0x1329
GenericFailedQuest_Played, 0x132d
GenericLine24_Played, 0x1331
Genric Line 01_Played, 0x1335
Genric Line 02_Played, 0x1339
Genric Line 03_Played, 0x133d
Genric Line 04_Played, 0x1341
Genric Line 05_Played, 0x1345
Genric Line 06_Played, 0x1349
Genric Line 07_Played, 0x134d
Genric Line 08_Played, 0x1351
Genric Line 09_Played, 0x1355
Genric Line 10_Played, 0x1359
Genric Line 11_Played, 0x135d
Genric Line 12_Played, 0x1361
Genric Line 13_Played, 0x1365
Genric Line 14_Played, 0x1369
Genric Line 15_Played, 0x136d
Genric Line 16_Played, 0x1371
Genric Line 17_Played, 0x1375
Genric Line 18_Played, 0x1379
Genric Line 19_Played, 0x137d
Genric Line 20_Played, 0x1381
Genric Line 21_Played, 0x1385
Genric Line 22_Played, 0x1389
Genric Line 23_Played, 0x138d
Genric Line 25_Played, 0x1391
Genric Line 26_Played, 0x1395
Genric Line 27_Played, 0x1399
Genric Line 28_Played, 0x139d
Genric Line 29_Played, 0x13a1
Genric Line 30_Played, 0x13a5
GenricLine40_Played, 0x13a9
Giantland_HiScore, 0x13ad
GildaPlaceholder_Played, 0x13b1
Global_2DInactive_Played, 0x13b5
Global_3DInactive_Played, 0x13b9
Global_QuickstartLocation, 0x13bd
Global_SuppliesCollected, 0x13c1
Go Away_Played, 0x13c5
Go Find Tiki Masks_Played, 0x13c9
Got Compass, 0x13cd
Got Figurehead Bad_Played, 0x13d1
Got Figurehead Good_Played, 0x13d5
Got Mermaid Figurehead, 0x13d9
Got Ships Wheel, 0x13dd
Got_Pin_BeetleworxDefeated, 0x13e1
Got_Pin_MSTravel, 0x13e5
Got_Pin_PotWTravel, 0x13e9
Got_Pin_Starter, 0x13ed
Got_TikiWatchCapacityUpgrade, 0x13f1
Got_Wallet2, 0x13f5
GotTikiMask1, 0x13f9
GotTikiMask2, 0x13fd
GotTikiMask3, 0x1401
GotWalletLarge, 0x1405
GP_ColonelCartoons_Played, 0x1409
GP_DogTag_Played, 0x140d
GP_DonaldArm_Played, 0x1411
GP_DonaldLeg_Played, 0x1415
GP_DonaldWaist_Played, 0x1419
GP_FlowersPickup_Played, 0x141d
GP_GoofyArm_Played, 0x1421
GP_GoofyLeg_Played, 0x1425
GP_GoofyTorso_Played, 0x1429
GP_GoofyWaist_Played, 0x142d
GP_JournalPage_Played, 0x1431
GP_MurderWeapon_Played, 0x1435
GP_Pickaxe_Played, 0x1439
Gremlin_InCage_Played, 0x143d
Gremlinfreed, 0x1441
GremVil_Intro_Played, 0x1445
GuardianAlignment, 0x1449
GuardianCount, 0x144d
Gus_BeetleworxCombat_01_Played, 0x1451
Gus_BeetleworxCombat_02_Played, 0x1455
Gus_Blott_Attack_Door_Played, 0x1459
Gus_CagedGremlin_Played, 0x145d
Gus_FoundObject_Played, 0x1461
Gus_FoundPalPart_Played, 0x1465
Gus_Generic_GuardainHelp_Played, 0x1469
Gus_Generic_LockedDoor_Played, 0x146d
Gus_Generic_Reward_Played, 0x1471
Gus_GremlinQuest_Add_Played, 0x1475
Gus_GremlinQuest_Thanks_Played, 0x1479
Gus_IncreasedAmmo_Played, 0x147d
Gus_InvasionShop_Played, 0x1481
Gus_JudgesMickey_Bad_Played, 0x1485
Gus_JudgesMickey_Good_Played, 0x1489
Gus_Map_Tutorial_Played, 0x148d
Gus_MickeyLeavesFoyer_Played, 0x1491
Gus_PaintThinnedGear_Played, 0x1495
Gus_PeteDiskRecovered_Played, 0x1499
Gus_Pirate_Comment_Played, 0x149d
Gus_Quest_Tutorial_Played, 0x14a1
Gus_QuestLog_Hint_Played, 0x14a5
GUS_UI_AnalogJump_Played, 0x14a9
Gus_UI_C_Button_Played, 0x14ad
Gus_UI_CameraControl_Played, 0x14b1
Gus_UI_SpinMove_Played, 0x14b5
Gus_WhatIsThat_Played, 0x14b9
Gus_WhatIsThis_Played, 0x14bd
Gus_WhatsInThere_Played, 0x14c1
Gus_WhatsThat2_Played, 0x14c5
GV_2D_To_ClockTower_Played, 0x14c9
GV_Airlock_DoorShut02_Played, 0x14cd
GV_Airlock_DoorsShut_Played, 0x14d1
GV_Airlock_Encourage_Played, 0x14d5
GV_Airlock_GusValve01_Played, 0x14d9
GV_Airlock_GusValve02_Played, 0x14dd
GV_Airlock_GusValve03_Played, 0x14e1
GV_Airlock_GusWrongValve_Played, 0x14e5
GV_Airlock_Pipe01_Played, 0x14e9
GV_Airlock_Pipe02_Played, 0x14ed
GV_Airlock_Pipe03_Played, 0x14f1
GV_Airlock_PuzzleExplain_Played, 0x14f5
GV_Airlock_ValveNoTurn_Played, 0x14f9
GV_Airlock_ValveStuck_Played, 0x14fd
GV_APG_GremChat01_Played, 0x1501
GV_APG_GremChat02_Played, 0x1505
GV_APG_GremChat03_Played, 0x1509
GV_APG_GusHelped_Played, 0x150d
GV_APG_SunstarChatter_Played, 0x1511
GV_Arena_Pete_Intro_Played, 0x1515
GV_Arena_PeteMadOutro_Played, 0x1519
GV_BoatTrans_Warning1_Played, 0x151d
GV_BoatTrans_Warning2_Played, 0x1521
GV_BoatTransfer_BoatDeath_Played, 0x1525
GV_BT_BabyHippo, 0x1529
GV_BT_BTDoorOpen, 0x152d
GV_BT_DoorJammed_Played, 0x1531
GV_BT_GearDoorKey, 0x1535
GV_BT_GusFreakOut_Played, 0x1539
GV_BT_GusIntro_Played, 0x153d
GV_BT_GusTutorial01_Played, 0x1541
GV_BT_GusTutorial02_Played, 0x1545
GV_BtoC_BoatsStopped_Played, 0x1549
GV_BtoC_GusExtra_Played, 0x154d
GV_BustedPipe_Played, 0x1551
GV_ClockTowerResolution, 0x1555
GV_DoorSwitch1, 0x1559
GV_DoorSwitch2, 0x155d
GV_EnterGremlinHouse_Played, 0x1561
GV_EnterGusHouse_Played, 0x1565
GV_ExitGremlinHouse_Played, 0x1569
GV_GremlinsSaved, 0x156d
GV_GremlinTim_FixingGears_Played, 0x1571
GV_HousePanic_Played, 0x1575
GV_JTA_CameraGlobal, 0x1579
GV_JTA_FrontDoor, 0x157d
GV_JTA_HitValve_Played, 0x1581
GV_MCG_GremChat01_Played, 0x1585
GV_MCG_GremChat02_Played, 0x1589
GV_MCG_GremChat03_Played, 0x158d
GV_MCG_GusHelped_Played, 0x1591
GV_MCG_MysteriousChatter_Played, 0x1595
GV_Pete_Intro_Played, 0x1599
GV_PeteStuff, 0x159d
GV_Played, 0x15a1
GV_Pump_ThinnerReaction_Played, 0x15a5
GV_TajGearsBroken, 0x15a9
GV_TCG_DittoChatter_Played, 0x15ad
GV_TCG_GremChat01_Played, 0x15b1
GV_TCG_GremChat02_Played, 0x15b5
GV_TCG_GremChat03_Played, 0x15b9
GV_TCG_GusHelped_Played, 0x15bd
GV_visit1_Establish_Oswald , 0x15c1
GV_ZoneA_CheckPointGlobal, 0x15c5
GV_ZoneA_CombatTraining, 0x15c9
GV_ZoneA_Door01, 0x15cd
GV_ZoneA_DoorBroken_Played, 0x15d1
GV_ZoneA_DoorFixed_Played, 0x15d5
GV_ZoneA_DoorShuts_Played, 0x15d9
GV_ZoneA_DoubleJump_Played, 0x15dd
GV_ZoneA_ExitOpened, 0x15e1
GV_ZoneA_FrontDoorBlocker, 0x15e5
GV_ZoneA_GearSmashed, 0x15e9
GV_ZoneA_GremlinTiestow, 0x15ed
GV_ZoneA_GusChoiceReact01_Played, 0x15f1
GV_ZoneA_GusGears_Played, 0x15f5
GV_ZoneA_GusGears2_Played, 0x15f9
GV_ZoneA_GusOswaldSighting01_Played, 0x15fd
GV_ZoneA_GusScolding_Played, 0x1601
GV_ZoneA_GusSpatter_Played, 0x1605
GV_ZoneA_GusSpatter1_Played, 0x1609
GV_ZoneA_GusSteam_Played, 0x160d
GV_ZoneA_GusSteam2_Played, 0x1611
GV_ZoneA_NoSpatterDismiss_Played, 0x1615
GV_ZoneA_OpenExit_Played, 0x1619
GV_ZoneA_Pipe01, 0x161d
GV_ZoneA_Pipe02, 0x1621
GV_ZoneA_Pipe03, 0x1625
GV_ZoneA_Pipe04, 0x1629
GV_ZoneA_PipeFix, 0x162d
GV_ZoneA_SchoolPipeFixed_Played, 0x1631
GV_ZoneA_SecondSpatterRunoff, 0x1635
GV_ZoneA_SeesTiestow_Played, 0x1639
